Emiten;EPS;PER;PBV;Harga
ADRO;177,80;26,32;0,62;1215,00
AKRA;300,42;21,24;1,73;4290,00
AMRT;7,24;84,25;6,45;935,00
ANTM;5,69;109,84;1,00;765,00
ARTO;-7,28;-23,08;1,90;184,00
ASII;466,20;17,80;1,91;8225,00
BBCA;955,33;22,92;4,18;26000,00
BBNI;736,03;13,45;1,47;8800,00
BBRI;237,48;15,33;2,41;3660,00
BMRI;446,75;17,91;1,84;7375,00
BRPT;115,42;19,58;1,09;2390,00
CPIN;152,30;19,70;6,11;7225,00
EMTK;7,82;1214,83;3,06;8400,00
ESSA;3,15;69,84;0,98;322,00
HRUM;227,20;9,02;0,67;1400,00
INCO;-20,90;-138,28;1,19;3260,00
INDF;473,69;16,10;1,31;7450,00
ITMG;3111,21;6,65;1,63;20250,00
KLBF;51,25;32,98;4,66;1520,00
MDKA;162,14;13,20;2,38;3500,00
MEDC;105,64;8,42;0,61;685,00
PGAS;80,14;21,84;1,11;2120,00
PTBA;389,26;6,32;3,04;4300,00
SMGR;341,36;29,00;2,08;11500,00
TLKM;219,69;20,21;3,17;3750,00
TOWR;205,89;19,43;4,38;690,00
UNTR;2000,80;17,69;1,79;27350,00
UNVR;921,65;60,65;45,71;45400,00
